week_day,title,k_calories
Segunda,Strogonoff de carne *lactose,453
Segunda,Frango assado,267
Segunda,Batata palha,320
Segunda,Vagem soutê,82
Segunda,Alface,5
Segunda,Salada de tomate,33
Segunda,Salada mista verão,15
Segunda,Beterraba ralada,11
Segunda,Picles em conserva,20
Segunda,Pé de boi,140
Terca,Frango com molho cremoso,383
Terca,Escalope bovino com páprica,242
Terca,Omelete com cenoura,183
Terca,Polenta cremosa,136
Terca,Chuchu refogado,18
Terca,Alface,5
Terca,Pepino salada com casca,4
Terca,Salada multicor,8
Terca,Rabanete,5
Terca,Salada de brócolis cozido,13
Terca,Creme de amendoim com doce de leite *glúten*lactose,96
Quinta,Escalope suíno agridoce,325
Quinta,Frango assado,267
Quinta,Macarrão aromático *glúten,484
Quinta,Cenoura soutê,39
Quinta,Alface,5
Quinta,Repolho roxo ralado,2
Quinta,Salada dos sabores,5
Quinta,Pimentão colorido,27
Quinta,Grão de bico conserva,73
Quinta,Bombom *glúten*lactose,170
Sexta,Filezinho de frango empanado *glúten,254
Sexta,Granito bovino,595
Sexta,Farofa completa,445
Sexta,Brócolis soutê,86
Sexta,Rúcula,12
Sexta,Salada de pepino,5
Sexta,Vinagrete misto,12
Sexta,Salada mista ralada,33
Sexta,Beterraba cubada,50
Sexta,Manjar de abacaxi com calda de abacaxi *lactose,114
